severity	updateDate	comments	line	author	rule	project	effort	message	creationDate	type	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2022-11-08T09:41:07+0000		39.0		python:S1192	Minh	8min	"Define a constant instead of duplicating this literal ""Bạn không có quyền truy cập trang này"" 4 times."	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/administration/views.py	"{locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=60.0, endLine=60.0, startOffset=36.0, endOffset=75.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=81.0, endLine=81.0, startOffset=36.0, endOffset=75.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=144.0, endLine=144.0, startOffset=36.0, endOffset=75.0}, msg=Duplication}]} / "	MAIN	{startLine=39.0, endLine=39.0, startOffset=36.0, endOffset=75.0}	8min	AYRWnaZyxuRpS6X9fA2F	be4e69ef451b3a90260c0e8226b0887e	OPEN
CRITICAL	2022-11-08T09:41:07+0000		56.0		python:S1192	Minh	8min	"Define a constant instead of duplicating this literal ""/login/"" 4 times."	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/administration/views.py	"{locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=77.0, endLine=77.0, startOffset=16.0, endOffset=25.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=128.0, endLine=128.0, startOffset=36.0, endOffset=45.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/administration/views.py, textRange={startLine=131.0, endLine=131.0, startOffset=16.0, endOffset=25.0}, msg=Duplication}]} / "	MAIN	{startLine=56.0, endLine=56.0, startOffset=16.0, endOffset=25.0}	8min	AYRWnaZyxuRpS6X9fA2G	72fb9fbd771b0cdc751245f6fc5f2720	OPEN
CRITICAL	2022-11-08T09:41:07+0000		72.0		python:S1186	Minh	5min	Add a nested comment explaining why this method is empty, or complete the implementation.	2022-11-08T09:41:07+0000	CODE_SMELL	"suspicious / "	Minh:DCLV/administration/views.py		MAIN	{startLine=72.0, endLine=72.0, startOffset=8.0, endOffset=12.0}	5min	AYRWnaZzxuRpS6X9fA2K	59744aeae9289c0f443b660b62f0f06f	OPEN
MINOR	2022-11-08T09:41:07+0000		101.0		python:S1481	Minh	5min	"Remove the unused local variable ""new_user""."	2022-11-08T09:41:07+0000	CODE_SMELL	"unused / "	Minh:DCLV/administration/views.py		MAIN	{startLine=101.0, endLine=101.0, startOffset=12.0, endOffset=20.0}	5min	AYRWnaZzxuRpS6X9fA2L	17abdb6f72e4e5532b4f898c985c3fb1	OPEN
MAJOR	2022-11-08T09:41:07+0000		125.0		python:S108	Minh	5min	Either remove or fill this block of code.	2022-11-08T09:41:07+0000	CODE_SMELL	"suspicious / "	Minh:DCLV/administration/views.py		MAIN	{startLine=125.0, endLine=125.0, startOffset=12.0, endOffset=16.0}	5min	AYRWnaZzxuRpS6X9fA2O	1a1dc91c907325c69271ddf0c944bc72	OPEN
CRITICAL	2022-11-08T09:41:07+0000		209.0		python:S5754	Minh	5min	Specify an exception class to catch or reraise the exception	2022-11-08T09:41:07+0000	CODE_SMELL	"bad-practice / error-handling / suspicious / "	Minh:DCLV/administration/views.py		MAIN	{startLine=209.0, endLine=209.0, startOffset=8.0, endOffset=14.0}	5min	AYRWnaZzxuRpS6X9fA2P	3e264f5fbab10735799511f21ca70842	OPEN
CRITICAL	2022-11-08T09:41:07+0000		64.0		python:S5754	Minh	5min	Specify an exception class to catch or reraise the exception	2022-11-08T09:41:07+0000	CODE_SMELL	"bad-practice / error-handling / suspicious / "	Minh:DCLV/fhir/disease.py		MAIN	{startLine=64.0, endLine=64.0, startOffset=4.0, endOffset=10.0}	5min	AYRWnae-xuRpS6X9fA-l	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2022-11-08T09:41:07+0000		10.0		python:S125	Minh	5min	Remove this commented out code.	2022-11-08T09:41:07+0000	CODE_SMELL	"unused / "	Minh:DCLV/fhir/forms.py		MAIN	{startLine=10.0, endLine=10.0, startOffset=0.0, endOffset=41.0}	5min	AYRWnaeBxuRpS6X9fA7P	da324412d10a1965fcb3bece3dfed694	OPEN
MAJOR	2022-11-08T09:41:07+0000		62.0		python:S1110	Minh	1min	Remove those useless parentheses.	2022-11-08T09:41:07+0000	CODE_SMELL	"confusing / "	Minh:DCLV/fhir/forms.py	"{locations=[{component=Minh:DCLV/fhir/forms.py, textRange={startLine=64.0, endLine=64.0, startOffset=8.0, endOffset=9.0}}]} / "	MAIN	{startLine=62.0, endLine=62.0, startOffset=17.0, endOffset=18.0}	1min	AYRWnaeCxuRpS6X9fA7Q	feb549c475f0353e695f9e8883b73f61	OPEN
CRITICAL	2022-11-08T09:41:07+0000		43.0		python:S1192	Minh	12min	Define a constant instead of duplicating this literal 'administration.practitionermodel' 6 times.	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/fhir/migrations/0001_initial.py	"{locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=106.0, endLine=106.0, startOffset=127.0, endOffset=161.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=117.0, endLine=117.0, startOffset=110.0, endOffset=144.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=138.0, endLine=138.0, startOffset=129.0, endOffset=163.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=201.0, endLine=201.0, startOffset=130.0, endOffset=164.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=243.0, endLine=243.0, startOffset=121.0, endOffset=155.0}, msg=Duplication}]} / "	MAIN	{startLine=43.0, endLine=43.0, startOffset=131.0, endOffset=165.0}	12min	AYRWnad6xuRpS6X9fA7O	066567065c48f85b9d91d0112169680e	OPEN
CRITICAL	2022-11-08T09:41:07+0000		104.0		python:S1192	Minh	16min	Define a constant instead of duplicating this literal 'fhir.encountermodel' 8 times.	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/fhir/migrations/0001_initial.py	"{locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=137.0, endLine=137.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=156.0, endLine=156.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=182.0, endLine=182.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=202.0, endLine=202.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=221.0, endLine=221.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=242.0, endLine=242.0, startOffset=108.0, endOffset=129.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=263.0, endLine=263.0, startOffset=107.0, endOffset=128.0}, msg=Duplication}]} / "	MAIN	{startLine=104.0, endLine=104.0, startOffset=107.0, endOffset=128.0}	16min	AYRWnad6xuRpS6X9fA7N	302674b1d97123addb934732ae95759d	OPEN
CRITICAL	2022-11-08T09:41:07+0000		139.0		python:S1192	Minh	6min	Define a constant instead of duplicating this literal 'fhir.servicerequestmodel' 3 times.	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/fhir/migrations/0001_initial.py	"{locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=157.0, endLine=157.0, startOffset=116.0, endOffset=142.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/migrations/0001_initial.py, textRange={startLine=203.0, endLine=203.0, startOffset=108.0, endOffset=134.0}, msg=Duplication}]} / "	MAIN	{startLine=139.0, endLine=139.0, startOffset=108.0, endOffset=134.0}	6min	AYRWnad6xuRpS6X9fA7M	cfac6c0f0f00d439e1c70ffe88a59efa	OPEN
MAJOR	2022-11-08T09:41:07+0000		17.0		python:S125	Minh	5min	Remove this commented out code.	2022-11-08T09:41:07+0000	CODE_SMELL	"unused / "	Minh:DCLV/fhir/urls.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=125.0}	5min	AYRWnaddxuRpS6X9fA7L	8921ef82221195e275c8ee1f61be44bc	OPEN
MAJOR	2022-11-08T09:41:07+0000		25.0		python:S125	Minh	5min	Remove this commented out code.	2022-11-08T09:41:07+0000	CODE_SMELL	"unused / "	Minh:DCLV/fhir/views.py		MAIN	{startLine=25.0, endLine=25.0, startOffset=0.0, endOffset=40.0}	5min	AYRWnaecxuRpS6X9fA78	0d590dac3a0fa7c58c77b721a2b88623	OPEN
CRITICAL	2022-11-08T09:41:07+0000		121.0		python:S1192	Minh	8min	Define a constant instead of duplicating this literal 'Laboratory procedure' 4 times.	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/fhir/views.py	"{locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=1357.0, endLine=1357.0, startOffset=70.0, endOffset=92.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=1386.0, endLine=1386.0, startOffset=39.0, endOffset=61.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=3110.0, endLine=3110.0, startOffset=65.0, endOffset=87.0}, msg=Duplication}]} / "	MAIN	{startLine=121.0, endLine=121.0, startOffset=4.0, endOffset=26.0}	8min	AYRWnaecxuRpS6X9fA7j	6f58c03a4aa4286e721ba76ea6ed66e3	OPEN
CRITICAL	2022-11-08T09:41:07+0000		257.0		python:S1192	Minh	10min	Define a constant instead of duplicating this literal 'fhir/doctor.html' 5 times.	2022-11-08T09:41:07+0000	CODE_SMELL	"design / "	Minh:DCLV/fhir/views.py	"{locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=645.0, endLine=645.0, startOffset=35.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=689.0, endLine=689.0, startOffset=39.0, endOffset=57.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=721.0, endLine=721.0, startOffset=35.0, endOffset=53.0}, msg=Duplication}]} / {locations=[{component=Minh:DCLV/fhir/views.py, textRange={startLine=782.0, endLine=782.0, startOffset=35.0, endOffset=53.0}, msg=Duplication}]} / "	MAIN	{startLine=257.0, endLine=257.0, startOffset=11.0, endOffset=29.0}	10min	AYRWnaecxuRpS6X9fA7x	0b3dc4fc3d8afc183b006b237535f38a	OPEN
MAJOR	2022-11-08T09:41:07+0000		264.0		python:S125	Minh	5min	Remove this commented out code.	2022-11-08T09:41:07+0000	CODE_SMELL	"unused / "	Minh:DCLV/fhir/views.py		MAIN	{startLine=264.0, endLine=264.0, startOffset=0.0, endOffset=38.0}	5min	AYRWnaecxuRpS6X9fA8D	b4ddaa3f50508354faaaf8f819c89b55	OPEN
